hour,demand_mwh,solar_mwh,wind_mwh,thermal_mwh,emissions_factor_tco2_per_mwh
1,42,0,18,30,0.39
2,40,0,16,29,0.39
3,38,0,15,28,0.39
4,36,0,14,27,0.39
5,35,2,16,25,0.39
6,39,8,24,22,0.39
7,48,18,30,20,0.39
8,55,34,26,18,0.39
9,61,48,22,16,0.39
10,64,58,20,15,0.39
11,66,62,18,15,0.39
12,67,64,16,15,0.39
13,69,61,14,18,0.39
14,72,54,14,23,0.39
15,75,42,18,30,0.39
16,78,28,24,38,0.39
17,82,14,30,48,0.39
18,86,4,34,58,0.39
19,84,0,32,58,0.39
20,78,0,28,54,0.39
21,70,0,24,48,0.39
22,61,0,22,42,0.39
23,52,0,20,36,0.39
24,46,0,18,32,0.39
